ETF이름,링크,ETF코드,운용사,수수료,시가총액(억 원),수익률,,,,구성종목 TOP 10,,,,,,,,,,,,,,,,,,,
TIGER 탄소효율그린뉴딜,https://finance.naver.com/item/coinfo.nhn?code=376410,376410,미래에셋자산운용,0.150,982,,,,, 삼성전자 ,31.11, SK하이닉스 ,5.21, NAVER ,3.82, 현대차 ,2.97, LG화학 ,2.88, 삼성SDI ,2.26, 기아차 ,2.10, 셀트리온 ,1.97, 현대모비스 ,1.82, 카카오 ,1.69
TIGER 코스피중형주,https://finance.naver.com/item/coinfo.nhn?code=277650,277650,미래에셋자산운용,0.290,125,-2.41,13.44,25.91,56.55, HMM ,2.72, SK케미칼 ,1.94, 신풍제약 ,1.93, 녹십자 ,1.90, 두산중공업 ,1.74, 동서 ,1.74, 두산퓨얼셀 ,1.38, OCI ,1.30, 만도 ,1.28, 키움증권 ,1.24
TIGER 코스피대형주,https://finance.naver.com/item/coinfo.nhn?code=277640,277640,미래에셋자산운용,0.290,107,-4.00,18.01,31.26,48.38, 삼성전자 ,29.35, SK하이닉스 ,6.08, NAVER ,3.64, LG화학 ,3.48, 현대차 ,2.98, 삼성바이오로직스 ,2.95, 삼성SDI ,2.74, 카카오 ,2.49, 셀트리온 ,2.42, 기아차 ,1.90
TIGER 코스피고배당,https://finance.naver.com/item/coinfo.nhn?code=210780,210780,미래에셋자산운용,0.290,136,0.95,9.16,28.09,24.40, DB금융투자 ,3.31, 제이에스코퍼레이션 ,3.08, 메리츠금융지주 ,2.93, 하나금융지주 ,2.91, 동양생명 ,2.86, 대신증권 ,2.83, DGB금융지주 ,2.72, 한국자산신탁 ,2.65, BNK금융지주 ,2.65, 효성 ,2.60
TIGER 코스피,https://finance.naver.com/item/coinfo.nhn?code=277630,277630,미래에셋자산운용,0.150,630,-3.83,16.91,30.30,47.79, 삼성전자 ,24.31, SK하이닉스 ,5.08, NAVER ,3.03, LG화학 ,2.87, 현대차 ,2.51, 삼성바이오로직스 ,2.44, 삼성SDI ,2.28, 카카오 ,2.13, 셀트리온 ,2.01, 기아차 ,1.59
TIGER 코스닥150IT,https://finance.naver.com/item/coinfo.nhn?code=261060,261060,미래에셋자산운용,0.400,103,-10.16,7.63,8.52,26.61, 원익IPS ,6.67, 리노공업 ,6.45, 케이엠더블유 ,6.44, 고영 ,4.62, 엘앤에프 ,4.38, 티씨케이 ,4.01, 이오테크닉스 ,3.46, 서울반도체 ,3.06, 엠씨넥스 ,2.85, 실리콘웍스 ,2.85
TIGER 코스닥150선물인버스,https://finance.naver.com/item/coinfo.nhn?code=250780,250780,미래에셋자산운용,0.320,289,11.28,-4.23,-7.09,-38.02, 코스닥150 F 202103 ,, 설정현금액 ,, 원화현금 ,
TIGER 코스닥150바이오테크,https://finance.naver.com/item/coinfo.nhn?code=261070,261070,미래에셋자산운용,0.400,94,-15.45,-6.74,-9.43,52.93, 셀트리온헬스케어 ,27.57, 알테오젠 ,6.06, 셀트리온제약 ,5.86, 씨젠 ,5.08, 제넥신 ,4.41, 셀리버리 ,3.14, 메드팩토 ,2.71, 레고켐바이오 ,2.61, 휴젤 ,2.38, 메지온 ,2.33
TIGER 코스닥150 레버리지,https://finance.naver.com/item/coinfo.nhn?code=233160,233160,미래에셋자산운용,0.320,810,-21.08,2.51,1.84,68.90, TIGER 코스닥150 ,, CMG제약 ,, 셀트리온헬스케어 ,, 신라젠 ,, 국일제지 ,, 텔콘RF제약 ,, SFA반도체 ,, 대아티아이 ,, 아난티 ,, 포스코 ICT ,
TIGER 코스닥150,https://finance.naver.com/item/coinfo.nhn?code=232080,232080,미래에셋자산운용,0.190,2085,-11.40,1.82,2.58,38.15, 셀트리온헬스케어 ,11.58, 에이치엘비 ,2.86, 알테오젠 ,2.47, 셀트리온제약 ,2.43, 씨젠 ,2.10, 제넥신 ,1.83, 현대바이오 ,1.73, 펄어비스 ,1.66, 원익IPS ,1.57, 리노공업 ,1.55
TIGER 차이나HSCEI,https://finance.naver.com/item/coinfo.nhn?code=245360,245360,미래에셋자산운용,0.350,773,-1.99,7.17,4.02,2.38, CHINA CONSTRUCTION BANK-H ,, BANK OF CHINA LTD-H ,, IND & COMM BK OF CHINA-H ,, CHINA TOWER CORP LTD-H ,, AGRICULTURAL BANK OF CHINA-H ,, CHINA PETROLEUM & CHEMICAL-H ,, PETROCHINA CO LTD-H ,, CNOOC LTD ,, XIAOMI CORP-CLASS B ,, SINO BIOPHARMACEUTICAL ,
TIGER 차이나CSI300인버스(합성),https://finance.naver.com/item/coinfo.nhn?code=217780,217780,미래에셋자산운용,0.580,284,1.29,-11.79,-14.56,-27.10, TIGER 차이나CSI300 ,, CHINAAMC CSI 300 IDX ETF-HKD ,, 스왑(메리츠증권)_490159 ,, 스왑(미래에셋대우)_490159 ,, 설정현금액 ,, 원화현금 ,
TIGER 차이나CSI300레버리지(합성),https://finance.naver.com/item/coinfo.nhn?code=204480,204480,미래에셋자산운용,0.580,1403,-3.68,24.49,31.37,70.45, CHINAAMC CSI 300 IDX ETF-HKD ,, TIGER 차이나CSI300 ,, HAITONG CSI 300 INDEX ETF-HD ,, 스왑(키움증권)_490154 ,, 스왑(미래에셋대우)_490154 ,, 스왑(한국투자증권)_490154 ,, 스왑(메리츠증권)_490154 ,, 스왑(삼성증권)_490154 ,, 설정현금액 ,, 원화현금 ,
TIGER 차이나CSI300,https://finance.naver.com/item/coinfo.nhn?code=192090,192090,미래에셋자산운용,0.630,3148,-1.85,11.72,13.87,34.24, HUATAI-PB CSI 300 ETF ,, IND & COMM BK OF CHINA-A ,, AGRICULTURAL BANK OF CHINA-A ,, BANK OF COMMUNICATIONS CO-A ,, BOE TECHNOLOGY GROUP CO LT-A ,, INNER MONGOLIA BAOTOU STE-A ,, CHINA MINSHENG BANKING-A ,, BANK OF CHINA LTD-A ,, CHINA STATE CONSTRUCTION -A ,, CHINA EVERBRIGHT BANK CO-A ,
TIGER 차이나항셍테크,https://finance.naver.com/item/coinfo.nhn?code=371160,371160,미래에셋자산운용,0.090,1329,-8.61,,,, LENOVO GROUP LTD ,, XIAOMI CORP-CLASS B ,, SEMICONDUCTOR MANUFACTURING ,, ALIBABA HEALTH INFORMATION T ,, KINGDEE INTERNATIONAL SFTWR ,, FIT HON TENG LTD ,, WEIMOB INC ,, JD HEALTH INTERNATIONAL INC ,, TONGCHENG-ELONG HOLDINGS LTD ,, YIXIN GROUP LTD ,
TIGER 차이나항셍25,https://finance.naver.com/item/coinfo.nhn?code=117690,117690,미래에셋자산운용,0.490,80,-0.67,10.81,7.48,5.92, CHINA CONSTRUCTION BANK-H ,, BANK OF CHINA LTD-H ,, IND & COMM BK OF CHINA-H ,, AGRICULTURAL BANK OF CHINA-H ,, CHINA PETROLEUM & CHEMICAL-H ,, CNOOC LTD ,, XIAOMI CORP-CLASS B ,, SINO BIOPHARMACEUTICAL ,, COUNTRY GARDEN HOLDINGS CO ,, CHINA LIFE INSURANCE CO-H ,
TIGER 차이나전기차SOLACTIVE,https://finance.naver.com/item/coinfo.nhn?code=371460,371460,미래에셋자산운용,0.490,5766,-16.98,,,, GX CHINA EV ETF-USD ,, SUNWODA ELECTRONIC CO LTD-A ,, QINGDAO TGOOD ELECTRIC-A ,, GOTION HIGH-TECH CO LTD-A ,, WUXI LEAD INTELLIGENT EQUI-A ,, EVE ENERGY CO LTD-A ,, SHENZHEN INOVANCE TECHNOLO-A ,, SHENZHEN YINGHE TECHNOLOGY-A ,, ZHEJIANG YONGTAI TECH-A ,, GANFENG LITHIUM CO LTD-A ,
TIGER 차이나바이오테크SOLACTIVE,https://finance.naver.com/item/coinfo.nhn?code=371470,371470,미래에셋자산운용,0.490,771,-8.06,,,, SINO BIOPHARMACEUTICAL ,, GX CHINA BIOTECH ETF-USD ,, SHANGHAI RAAS BLOOD PRODUC-A ,, 3SBIO INC ,, WALVAX BIOTECHNOLOGY CO-A ,, ANHUI ANKE BIOTECHNOLOGY G-A ,, WUXI BIOLOGICS CAYMAN INC ,, CHINA MEDICAL SYSTEM HOLDING ,, INNOVENT BIOLOGICS INC ,, GENSCRIPT BIOTECH CORP ,
TIGER 지주회사,https://finance.naver.com/item/coinfo.nhn?code=307520,307520,미래에셋자산운용,0.500,46,-7.43,9.86,10.92,23.38, 삼성바이오로직스 ,9.89, 한진칼 ,9.47, LG ,9.29, SK ,9.20, 현대중공업지주 ,7.23, 휠라홀딩스 ,5.88, GS ,5.81, 아모레G ,5.00, 한미사이언스 ,4.20, CJ ,3.76
TIGER 증권,https://finance.naver.com/item/coinfo.nhn?code=157500,157500,미래에셋자산운용,0.400,64,-3.70,2.19,19.25,33.59, 한국금융지주 ,23.26, 미래에셋대우 ,20.98, 삼성증권 ,14.32, NH투자증권 ,9.85, 키움증권 ,9.61, 메리츠증권 ,7.54, 대신증권 ,2.64, 한화투자증권 ,1.92, SK증권 ,1.82, 유진투자증권 ,1.67
TIGER 중장기국채,https://finance.naver.com/item/coinfo.nhn?code=302190,302190,미래에셋자산운용,0.150,879,-0.81,-1.06,-2.12,-1.24, 국고채권01000-2306(20-3) ,, 국고채권01125-2509(20-6) ,, 국고채권01250-2212(19-7) ,, 국고채권01375-2912(19-8) ,, 국고채권01375-3006(20-4) ,, 설정현금액 ,, 원화현금 ,
TIGER 중소형성장,https://finance.naver.com/item/coinfo.nhn?code=292130,292130,미래에셋자산운용,0.290,66,-9.80,1.38,2.61,48.08, 리노공업 ,2.34, 에코프로비엠 ,2.08, 한미사이언스 ,2.05, 셀리버리 ,2.04, 에코프로 ,1.76, 스튜디오드래곤 ,1.63, 레고켐바이오 ,1.55, 씨에스윈드 ,1.46, JYP Ent. ,1.43, 오스코텍 ,1.24
TIGER 중소형가치,https://finance.naver.com/item/coinfo.nhn?code=292140,292140,미래에셋자산운용,0.290,69,-2.72,15.51,27.13,55.28, 현대로템 ,1.83, 팬오션 ,1.82, 한화 ,1.63, 현대미포조선 ,1.63, LS ,1.61, 현대위아 ,1.58, 대우건설 ,1.55, 대한유화 ,1.53, 현대백화점 ,1.52, 한화생명 ,1.51
TIGER 중국소비테마,https://finance.naver.com/item/coinfo.nhn?code=150460,150460,미래에셋자산운용,0.500,1703,-2.07,13.08,15.85,25.64, 인터파크 ,4.24, 제이콘텐트리 ,2.87, 오스템임플란트 ,2.81, 영원무역 ,2.63, 연우 ,2.57, 삼양홀딩스 ,2.55, 한국콜마 ,2.46, CJ CGV ,2.31, 네오팜 ,2.27, 스튜디오드래곤 ,2.24
TIGER 일본TOPIX헬스케어(합성),https://finance.naver.com/item/coinfo.nhn?code=248260,248260,미래에셋자산운용,0.400,117,-8.82,-6.53,-11.79,-2.26, 스왑(메리츠증권)_490182 ,, 스왑(한국투자증권)_490182 ,, NOMURA NF TX-17 PHARM ETF ,, 설정현금액 ,, 원화현금 ,
TIGER 일본TOPIX(합성 H),https://finance.naver.com/item/coinfo.nhn?code=195920,195920,미래에셋자산운용,0.240,107,0.72,4.35,14.99,16.12, 스왑(메리츠증권)_490152 ,, 스왑(미래에셋대우)_490152 ,, NEXT FUNDS TOPIX EXCHANGE TR ,, 설정현금액 ,, 원화현금 ,
TIGER 일본엔선물인버스2X,https://finance.naver.com/item/coinfo.nhn?code=292590,292590,미래에셋자산운용,0.470,34,1.18,0.41,11.26,3.18, TIGER 일본엔선물인버스 ,, 엔       F 202103 ,, 설정현금액 ,, 원화현금 ,
TIGER 일본엔선물인버스,https://finance.naver.com/item/coinfo.nhn?code=292580,292580,미래에셋자산운용,0.470,38,0.48,0.11,4.80,2.04, TIGER 일본엔선물인버스2X ,, 엔       F 202103 ,, 설정현금액 ,, 원화현금 ,
TIGER 일본엔선물레버리지,https://finance.naver.com/item/coinfo.nhn?code=292570,292570,미래에셋자산운용,0.470,41,-1.06,-0.39,-10.77,-8.95, TIGER 일본엔선물 ,, TRUE 레버리지 엔선물 ETN B ,, 엔       F 202103 ,, 설정현금액 ,, 원화현금 ,
TIGER 일본엔선물,https://finance.naver.com/item/coinfo.nhn?code=292560,292560,미래에셋자산운용,0.250,94,-1.28,-0.53,-5.74,-4.05, 엔       F 202103 ,, 설정현금액 ,, 원화현금 ,
TIGER 일본니케이225,https://finance.naver.com/item/coinfo.nhn?code=241180,241180,미래에셋자산운용,0.350,145,1.65,10.07,19.28,27.12, KDDI CORP ,, SOFTBANK GROUP CORP ,, ASTELLAS PHARMA INC ,, NTT DATA CORP ,, OLYMPUS CORP ,, TERUMO CORP ,, CHUGAI PHARMACEUTICAL CO LTD ,, DAIICHI SANKYO CO LTD ,, RECRUIT HOLDINGS CO LTD ,, M3 INC ,
TIGER 인버스,https://finance.naver.com/item/coinfo.nhn?code=123310,123310,미래에셋자산운용,0.090,602,2.57,-17.00,-26.63,-39.21, TIGER 200선물인버스2X ,, 코스피200 F 202103 ,, 설정현금액 ,, 원화현금 ,
TIGER 인도니프티50레버리지(합성),https://finance.naver.com/item/coinfo.nhn?code=236350,236350,미래에셋자산운용,0.580,193,8.99,33.56,43.29,5.13, 스왑(메리츠증권)_490176 ,, MIRAE ASSET NIFTY 50 ETF ,, NIPPON INDIA ETF NIFTY BEES ,, SBI-ETF NIFTY 50 ,, 설정현금액 ,, 원화현금 ,
TIGER 이머징마켓MSCI레버리지(합성 H),https://finance.naver.com/item/coinfo.nhn?code=225060,225060,미래에셋자산운용,0.580,111,-5.50,20.00,45.01,51.43, 스왑(메리츠증권)_490163 ,, ISHARES MSCI EMERGING MARKET ,, 설정현금액 ,, 원화현금 ,
TIGER 의료기기,https://finance.naver.com/item/coinfo.nhn?code=307510,307510,미래에셋자산운용,0.500,87,-11.26,-9.48,-11.90,70.49, 씨젠 ,14.47, 레고켐바이오 ,7.15, 오스코텍 ,5.61, 오스템임플란트 ,5.28, 차바이오텍 ,4.84, 이오플로우 ,3.76, 녹십자랩셀 ,3.03, 엘앤씨바이오 ,2.90, 엘앤케이바이오 ,2.86, 덴티움 ,2.49
TIGER 은행,https://finance.naver.com/item/coinfo.nhn?code=091220,091220,미래에셋자산운용,0.460,114,2.63,0.02,20.50,10.56, 하나금융지주 ,21.74, KB금융 ,20.44, 신한지주 ,17.86, 우리금융지주 ,16.82, 기업은행 ,6.87, BNK금융지주 ,5.18, JB금융지주 ,3.39, DGB금융지주 ,3.38, 원화현금 ,4.33
TIGER 유로스탁스배당30,https://finance.naver.com/item/coinfo.nhn?code=245350,245350,미래에셋자산운용,0.350,139,5.18,7.41,14.42,-3.49, TELECOM ITALIA-RSP ,, AEGON NV ,, SNAM SPA ,, EDP-ENERGIAS DE PORTUGAL SA ,, ORANGE ,, ASSICURAZIONI GENERALI ,, KLEPIERRE ,, AXA SA ,, FORTUM OYJ ,, NN GROUP NV ,
TIGER 유로스탁스레버리지(합성 H),https://finance.naver.com/item/coinfo.nhn?code=225050,225050,미래에셋자산운용,0.580,156,3.45,5.83,15.13,-10.03, 스왑(한국투자증권)_490162 ,, 스왑(미래에셋대우)_490162 ,, 스왑(메리츠증권)_490162 ,, TIGER 유로스탁스50(합성 H) ,, ISHARES CORE EURO STOXX50 DE ,, 설정현금액 ,, 원화현금 ,
TIGER 유로스탁스50(합성 H),https://finance.naver.com/item/coinfo.nhn?code=195930,195930,미래에셋자산운용,0.240,858,2.21,3.90,9.87,1.62, 스왑(메리츠증권)_490151 ,, 스왑(미래에셋대우)_490151 ,, ISHARES CORE EURO STOXX50 DE ,, 설정현금액 ,, 원화현금 ,
TIGER 원유선물Enhanced(H),https://finance.naver.com/item/coinfo.nhn?code=130680,130680,미래에셋자산운용,0.690,1099,19.66,35.41,34.76,-18.79, GX S&P CRUDE OIL FUT-HKD ,, INVESCO DB OIL FUND ,, UNITED STATES 12 MONTH OIL ,, UNITED STATES OIL FUND LP ,, WTI CRUDE FUTURE  Apr21 ,, 미국달러 F 202103 ,, 설정현금액 ,, 원화현금 ,
TIGER 원유선물인버스(H),https://finance.naver.com/item/coinfo.nhn?code=217770,217770,미래에셋자산운용,0.690,40,-16.60,-28.15,-33.96,-29.94, 미국달러 F 202103 ,, WTI CRUDE FUTURE  Apr21 ,, 설정현금액 ,, 원화현금 ,
TIGER 우선주,https://finance.naver.com/item/coinfo.nhn?code=261140,261140,미래에셋자산운용,0.290,78,-12.73,20.72,26.60,50.70, 삼성전자우 ,19.64, 현대차2우B ,19.40, LG화학우 ,17.65, LG생활건강우 ,8.78, LG전자우 ,7.26, 삼성SDI우 ,4.25, 아모레퍼시픽우 ,4.01, 삼성화재우 ,2.16, 한국금융지주우 ,2.02, 삼성전기우 ,1.92
TIGER 우량가치,https://finance.naver.com/item/coinfo.nhn?code=227570,227570,미래에셋자산운용,0.400,90,1.88,13.90,27.57,29.37, 포스코인터내셔널 ,2.75, 한화생명 ,2.65, 효성화학 ,2.52, 코오롱인더 ,2.44, 넥센타이어 ,2.33, 기아차 ,2.24, 한국타이어앤테크놀로지 ,2.22, SK렌터카 ,2.21, 한섬 ,2.21, 현대차 ,2.21
TIGER 여행레저,https://finance.naver.com/item/coinfo.nhn?code=228800,228800,미래에셋자산운용,0.500,347,2.33,10.89,23.50,24.10, 파라다이스 ,10.05, 롯데관광개발 ,9.90, 강원랜드 ,9.23, 하나투어 ,9.13, 호텔신라 ,9.12, 한진칼 ,8.49, 아시아나항공 ,7.68, GKL ,7.06, 아난티 ,6.06, 진에어 ,5.37
TIGER 소프트웨어,https://finance.naver.com/item/coinfo.nhn?code=157490,157490,미래에셋자산운용,0.400,702,2.51,21.99,14.59,73.68, 카카오 ,27.74, NAVER ,27.48, 엔씨소프트 ,21.28, 삼성에스디에스 ,8.20, 넷마블 ,3.62, 더존비즈온 ,2.53, 펄어비스 ,2.08, 컴투스 ,1.45, 웹젠 ,0.98, NHN ,0.85
TIGER 삼성그룹펀더멘털,https://finance.naver.com/item/coinfo.nhn?code=138520,138520,미래에셋자산운용,0.150,181,-8.51,12.48,30.56,33.90, 삼성전자 ,25.94, 삼성SDI ,24.74, 삼성바이오로직스 ,8.87, 삼성물산 ,8.52, 삼성전기 ,7.50, 삼성에스디에스 ,4.68, 삼성생명 ,4.56, 삼성화재 ,3.88, 삼성중공업 ,1.97, 호텔신라 ,1.80
TIGER 부동산인프라고배당,https://finance.naver.com/item/coinfo.nhn?code=329200,329200,미래에셋자산운용,0.290,602,-0.50,2.56,12.74,9.65, 롯데리츠 ,, 맵스리얼티1 ,, 맥쿼리인프라 ,, 코람코에너지리츠 ,, 이리츠코크렙 ,, 신한알파리츠 ,, 메리츠증권 ,, 한국자산신탁 ,, JB금융지주 ,, BNK금융지주 ,
